Comment link,Commenter's Name,Commenter's Channel,Likes,Responses,Posted time,Edited time,comment,video title,labels,keyword 1,keyword 2,keyword 3
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgwMTfsh-qD0B74wgzl4AaABAg,Dylan Muir,http://www.youtube.com/channel/UCzjm6LKyTC8IzVFTUnUYpTg,0,0,2021-06-01T11:54:48Z,2021-06-01T11:54:48Z,Did anyone else see that at 12:25 or was that just me? Happy birthday Link!,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgwsFxy0eU8z9W1GlfN4AaABAg,fallon-grey,http://www.youtube.com/channel/UCVtujA9spPyRYZ0NIttlimA,0,0,2021-06-01T11:54:23Z,2021-06-01T11:54:23Z,Guys I think it might be Link's birthday...,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgxzexWu5IOrMN2-c4V4AaABAg,Ju J,http://www.youtube.com/channel/UCrCGP1mRg17bLebSDT-XZqQ,0,0,2021-06-01T11:54:21Z,2021-06-01T11:54:21Z,Happy birthday Link!,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugw_vS-YQ42HvKikITx4AaABAg,Peter Bennett,http://www.youtube.com/channel/UCTd6QF-G1NhjEHqbzeUFUgQ,0,0,2021-06-01T11:52:17Z,2021-06-01T11:52:17Z,No hair take that sh*t back.,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugz1TaMwD0zU-vodPsh4AaABAg,Kimmi,http://www.youtube.com/channel/UCKv9syTvcoTDVxn4s5xARLw,0,0,2021-06-01T11:51:55Z,2021-06-01T11:51:55Z,Happy Birthday Link.. 🎉🎈,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgyXaBVxrfN9iWTSkeR4AaABAg,24-hour Cinderella,http://www.youtube.com/channel/UCPF-E9K1TMZ-pl6X7YONldQ,0,0,2021-06-01T11:51:54Z,2021-06-01T11:51:54Z,What are peeps,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugw0-S0bEQuLqorsYcp4AaABAg,S.R.A Surapaneni,http://www.youtube.com/channel/UCCKi7JswWoZd_x3pY7Ff6UA,0,0,2021-06-01T15:02:33Z,2021-06-01T15:02:33Z,5:25 Why can't you just have your friends get the food outside?,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugzk67hjAXLjIE3tk7h4AaABAg,Mani Lee,http://www.youtube.com/channel/UCFIlaVbhSAlIEEdt9REKdLw,0,0,2021-06-01T15:02:27Z,2021-06-01T15:02:27Z,7 years away from 50 😅 that's scary sounding,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgzfawoGOpkgiPFpGwV4AaABAg,Christian S,http://www.youtube.com/channel/UCE-9-qa2TuM7LtGJAetwqDA,0,0,2021-06-01T15:01:53Z,2021-06-01T15:01:53Z,I guess I'm the only loser with Emetophobia........,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgxbeOFQzYDMxOdwpRN4AaABAg,Catbunny,http://www.youtube.com/channel/UCiSY3wG3qhb6u0lON2zhF_w,0,0,2021-06-01T15:00:52Z,2021-06-01T15:00:52Z,"Oh no, the hair spit thing.  =(",Which food would you rather?,,,,
